"","name","group","host","ref_strain","collection_time","sample_number"
"1","01_9426_0000_01",1,9426,"ref_strain",0,1
"2","01_2460_0003_01",1,2460,"ref_strain",3,1
"3","01_5622_0003_01",1,5622,"ref_strain",3,1
"4","01_4022_0004_01",1,4022,"ref_strain",4,1
"5","01_6959_0004_01",1,6959,"ref_strain",4,1
"6","01_9331_0004_01",1,9331,"ref_strain",4,1
"7","01_6895_0006_01",1,6895,"ref_strain",6,1
"8","01_1365_0007_01",1,1365,"ref_strain",7,1
"9","01_2682_0008_01",1,2682,"ref_strain",8,1
"10","01_4951_0008_01",1,4951,"ref_strain",8,1
"11","01_5418_0008_01",1,5418,"ref_strain",8,1
"12","01_3959_0009_01",1,3959,"ref_strain",9,1
"13","01_4579_0009_01",1,4579,"ref_strain",9,1
"14","01_6088_0009_01",1,6088,"ref_strain",9,1
"15","01_5812_0010_01",1,5812,"ref_strain",10,1
"16","01_8772_0010_01",1,8772,"ref_strain",10,1
"17","01_1723_0011_01",1,1723,"ref_strain",11,1
"18","01_2613_0011_01",1,2613,"ref_strain",11,1
"19","01_9571_0011_01",1,9571,"ref_strain",11,1
"20","01_1645_0012_01",1,1645,"ref_strain",12,1
"21","01_4341_0012_01",1,4341,"ref_strain",12,1
"22","01_4533_0012_01",1,4533,"ref_strain",12,1
"23","01_6490_0012_01",1,6490,"ref_strain",12,1
"24","01_8128_0012_01",1,8128,"ref_strain",12,1
"25","01_9406_0012_01",1,9406,"ref_strain",12,1
"26","01_1220_0013_01",1,1220,"ref_strain",13,1
"27","01_3777_0013_01",1,3777,"ref_strain",13,1
"28","01_5147_0013_01",1,5147,"ref_strain",13,1
"29","01_9529_0013_01",1,9529,"ref_strain",13,1
"30","01_0644_0014_01",1,644,"ref_strain",14,1
"31","01_1538_0014_01",1,1538,"ref_strain",14,1
"32","01_3005_0014_01",1,3005,"ref_strain",14,1
"33","01_3262_0014_01",1,3262,"ref_strain",14,1
"34","01_9628_0014_01",1,9628,"ref_strain",14,1
"35","01_0547_0015_01",1,547,"ref_strain",15,1
"36","01_3039_0015_01",1,3039,"ref_strain",15,1
"37","01_5079_0015_01",1,5079,"ref_strain",15,1
"38","01_5501_0015_01",1,5501,"ref_strain",15,1
"39","01_7077_0015_01",1,7077,"ref_strain",15,1
"40","01_0755_0016_01",1,755,"ref_strain",16,1
"41","01_3567_0016_01",1,3567,"ref_strain",16,1
"42","01_9032_0016_01",1,9032,"ref_strain",16,1
"43","01_1103_0017_01",1,1103,"ref_strain",17,1
"44","01_2043_0017_01",1,2043,"ref_strain",17,1
"45","01_2850_0017_01",1,2850,"ref_strain",17,1
"46","01_4677_0017_01",1,4677,"ref_strain",17,1
"47","01_4773_0017_01",1,4773,"ref_strain",17,1
"48","01_5221_0017_01",1,5221,"ref_strain",17,1
"49","01_6589_0017_01",1,6589,"ref_strain",17,1
"50","01_8815_0017_01",1,8815,"ref_strain",17,1
"51","01_9705_0017_01",1,9705,"ref_strain",17,1
"52","01_9794_0017_01",1,9794,"ref_strain",17,1
"53","01_1694_0018_01",1,1694,"ref_strain",18,1
"54","01_2047_0018_01",1,2047,"ref_strain",18,1
"55","01_2252_0018_01",1,2252,"ref_strain",18,1
"56","01_6591_0018_01",1,6591,"ref_strain",18,1
"57","01_8061_0018_01",1,8061,"ref_strain",18,1
"58","01_8612_0018_01",1,8612,"ref_strain",18,1
"59","01_8774_0018_01",1,8774,"ref_strain",18,1
"60","01_8952_0018_01",1,8952,"ref_strain",18,1
"61","01_1879_0019_01",1,1879,"ref_strain",19,1
"62","01_2768_0019_01",1,2768,"ref_strain",19,1
"63","01_5588_0019_01",1,5588,"ref_strain",19,1
"64","01_7741_0019_01",1,7741,"ref_strain",19,1
"65","01_7828_0019_01",1,7828,"ref_strain",19,1
"66","01_8667_0019_01",1,8667,"ref_strain",19,1
"67","01_9330_0019_01",1,9330,"ref_strain",19,1
"68","01_0036_0020_01",1,36,"ref_strain",20,1
"69","01_0103_0020_01",1,103,"ref_strain",20,1
"70","01_0111_0020_01",1,111,"ref_strain",20,1
"71","01_1282_0020_01",1,1282,"ref_strain",20,1
"72","01_1678_0020_01",1,1678,"ref_strain",20,1
"73","01_2495_0020_01",1,2495,"ref_strain",20,1
"74","01_2551_0020_01",1,2551,"ref_strain",20,1
"75","01_4594_0020_01",1,4594,"ref_strain",20,1
"76","01_5708_0020_01",1,5708,"ref_strain",20,1
"77","01_5921_0020_01",1,5921,"ref_strain",20,1
"78","01_7020_0020_01",1,7020,"ref_strain",20,1
"79","01_8453_0020_01",1,8453,"ref_strain",20,1
"80","01_1237_0021_01",1,1237,"ref_strain",21,1
"81","01_2030_0021_01",1,2030,"ref_strain",21,1
"82","01_3139_0021_01",1,3139,"ref_strain",21,1
"83","01_3561_0021_01",1,3561,"ref_strain",21,1
"84","01_4129_0021_01",1,4129,"ref_strain",21,1
"85","01_4581_0021_01",1,4581,"ref_strain",21,1
"86","01_6111_0021_01",1,6111,"ref_strain",21,1
"87","01_6164_0021_01",1,6164,"ref_strain",21,1
"88","01_7395_0021_01",1,7395,"ref_strain",21,1
"89","01_8090_0021_01",1,8090,"ref_strain",21,1
"90","01_8979_0021_01",1,8979,"ref_strain",21,1
"91","01_1048_0022_01",1,1048,"ref_strain",22,1
"92","01_1407_0022_01",1,1407,"ref_strain",22,1
"93","01_1689_0022_01",1,1689,"ref_strain",22,1
"94","01_2773_0022_01",1,2773,"ref_strain",22,1
"95","01_4614_0022_01",1,4614,"ref_strain",22,1
"96","01_4691_0022_01",1,4691,"ref_strain",22,1
"97","01_5183_0022_01",1,5183,"ref_strain",22,1
"98","01_8228_0022_01",1,8228,"ref_strain",22,1
"99","01_8292_0022_01",1,8292,"ref_strain",22,1
"100","01_9030_0022_01",1,9030,"ref_strain",22,1
"101","01_0168_0023_01",1,168,"ref_strain",23,1
"102","01_0589_0023_01",1,589,"ref_strain",23,1
"103","01_0803_0023_01",1,803,"ref_strain",23,1
"104","01_2736_0023_01",1,2736,"ref_strain",23,1
"105","01_4648_0023_01",1,4648,"ref_strain",23,1
"106","01_4676_0023_01",1,4676,"ref_strain",23,1
"107","01_5031_0023_01",1,5031,"ref_strain",23,1
"108","01_6024_0023_01",1,6024,"ref_strain",23,1
"109","01_7560_0023_01",1,7560,"ref_strain",23,1
"110","01_8422_0023_01",1,8422,"ref_strain",23,1
"111","01_9060_0023_01",1,9060,"ref_strain",23,1
"112","01_0330_0024_01",1,330,"ref_strain",24,1
"113","01_0752_0024_01",1,752,"ref_strain",24,1
"114","01_0786_0024_01",1,786,"ref_strain",24,1
"115","01_1426_0024_01",1,1426,"ref_strain",24,1
"116","01_2789_0024_01",1,2789,"ref_strain",24,1
"117","01_3295_0024_01",1,3295,"ref_strain",24,1
"118","01_4286_0024_01",1,4286,"ref_strain",24,1
"119","01_4938_0024_01",1,4938,"ref_strain",24,1
"120","01_5880_0024_01",1,5880,"ref_strain",24,1
"121","01_6303_0024_01",1,6303,"ref_strain",24,1
"122","01_6833_0024_01",1,6833,"ref_strain",24,1
"123","01_7234_0024_01",1,7234,"ref_strain",24,1
"124","01_7940_0024_01",1,7940,"ref_strain",24,1
"125","01_8255_0024_01",1,8255,"ref_strain",24,1
"126","01_8572_0024_01",1,8572,"ref_strain",24,1
"127","01_9146_0024_01",1,9146,"ref_strain",24,1
"128","01_9763_0024_01",1,9763,"ref_strain",24,1
"129","01_1859_0025_01",1,1859,"ref_strain",25,1
"130","01_2663_0025_01",1,2663,"ref_strain",25,1
"131","01_2919_0025_01",1,2919,"ref_strain",25,1
"132","01_3286_0025_01",1,3286,"ref_strain",25,1
"133","01_4328_0025_01",1,4328,"ref_strain",25,1
"134","01_5541_0025_01",1,5541,"ref_strain",25,1
"135","01_5991_0025_01",1,5991,"ref_strain",25,1
"136","01_6027_0025_01",1,6027,"ref_strain",25,1
"137","01_6169_0025_01",1,6169,"ref_strain",25,1
"138","01_6255_0025_01",1,6255,"ref_strain",25,1
"139","01_6359_0025_01",1,6359,"ref_strain",25,1
"140","01_6518_0025_01",1,6518,"ref_strain",25,1
"141","01_6695_0025_01",1,6695,"ref_strain",25,1
"142","01_7339_0025_01",1,7339,"ref_strain",25,1
"143","01_7343_0025_01",1,7343,"ref_strain",25,1
"144","01_7501_0025_01",1,7501,"ref_strain",25,1
"145","01_8127_0025_01",1,8127,"ref_strain",25,1
"146","01_8896_0025_01",1,8896,"ref_strain",25,1
"147","01_9021_0025_01",1,9021,"ref_strain",25,1
"148","01_9199_0025_01",1,9199,"ref_strain",25,1
"149","01_9375_0025_01",1,9375,"ref_strain",25,1
"150","01_9757_0025_01",1,9757,"ref_strain",25,1
"151","01_0336_0026_01",1,336,"ref_strain",26,1
"152","01_1087_0026_01",1,1087,"ref_strain",26,1
"153","01_1440_0026_01",1,1440,"ref_strain",26,1
"154","01_1746_0026_01",1,1746,"ref_strain",26,1
"155","01_2194_0026_01",1,2194,"ref_strain",26,1
"156","01_2452_0026_01",1,2452,"ref_strain",26,1
"157","01_2895_0026_01",1,2895,"ref_strain",26,1
"158","01_5243_0026_01",1,5243,"ref_strain",26,1
"159","01_5584_0026_01",1,5584,"ref_strain",26,1
"160","01_5759_0026_01",1,5759,"ref_strain",26,1
"161","01_6384_0026_01",1,6384,"ref_strain",26,1
"162","01_7969_0026_01",1,7969,"ref_strain",26,1
"163","01_9098_0026_01",1,9098,"ref_strain",26,1
"164","01_9329_0026_01",1,9329,"ref_strain",26,1
"165","01_0639_0027_01",1,639,"ref_strain",27,1
"166","01_0762_0027_01",1,762,"ref_strain",27,1
"167","01_1334_0027_01",1,1334,"ref_strain",27,1
"168","01_1584_0027_01",1,1584,"ref_strain",27,1
"169","01_1830_0027_01",1,1830,"ref_strain",27,1
"170","01_2059_0027_01",1,2059,"ref_strain",27,1
"171","01_2533_0027_01",1,2533,"ref_strain",27,1
"172","01_2902_0027_01",1,2902,"ref_strain",27,1
"173","01_3484_0027_01",1,3484,"ref_strain",27,1
"174","01_3516_0027_01",1,3516,"ref_strain",27,1
"175","01_3850_0027_01",1,3850,"ref_strain",27,1
"176","01_4116_0027_01",1,4116,"ref_strain",27,1
"177","01_4169_0027_01",1,4169,"ref_strain",27,1
"178","01_4627_0027_01",1,4627,"ref_strain",27,1
"179","01_4651_0027_01",1,4651,"ref_strain",27,1
"180","01_4726_0027_01",1,4726,"ref_strain",27,1
"181","01_6910_0027_01",1,6910,"ref_strain",27,1
"182","01_6913_0027_01",1,6913,"ref_strain",27,1
"183","01_7217_0027_01",1,7217,"ref_strain",27,1
"184","01_7237_0027_01",1,7237,"ref_strain",27,1
"185","01_8363_0027_01",1,8363,"ref_strain",27,1
"186","01_0026_0028_01",1,26,"ref_strain",28,1
"187","01_0282_0028_01",1,282,"ref_strain",28,1
"188","01_0636_0028_01",1,636,"ref_strain",28,1
"189","01_0809_0028_01",1,809,"ref_strain",28,1
"190","01_2304_0028_01",1,2304,"ref_strain",28,1
"191","01_2415_0028_01",1,2415,"ref_strain",28,1
"192","01_2500_0028_01",1,2500,"ref_strain",28,1
"193","01_2553_0028_01",1,2553,"ref_strain",28,1
"194","01_2582_0028_01",1,2582,"ref_strain",28,1
"195","01_2809_0028_01",1,2809,"ref_strain",28,1
"196","01_3531_0028_01",1,3531,"ref_strain",28,1
"197","01_3536_0028_01",1,3536,"ref_strain",28,1
"198","01_3932_0028_01",1,3932,"ref_strain",28,1
"199","01_4298_0028_01",1,4298,"ref_strain",28,1
"200","01_4751_0028_01",1,4751,"ref_strain",28,1
"201","01_4756_0028_01",1,4756,"ref_strain",28,1
"202","01_4994_0028_01",1,4994,"ref_strain",28,1
"203","01_5087_0028_01",1,5087,"ref_strain",28,1
"204","01_6402_0028_01",1,6402,"ref_strain",28,1
"205","01_6837_0028_01",1,6837,"ref_strain",28,1
"206","01_7461_0028_01",1,7461,"ref_strain",28,1
"207","01_7635_0028_01",1,7635,"ref_strain",28,1
"208","01_7905_0028_01",1,7905,"ref_strain",28,1
"209","01_7921_0028_01",1,7921,"ref_strain",28,1
"210","01_0267_0029_01",1,267,"ref_strain",29,1
"211","01_0302_0029_01",1,302,"ref_strain",29,1
"212","01_0583_0029_01",1,583,"ref_strain",29,1
"213","01_0724_0029_01",1,724,"ref_strain",29,1
"214","01_0896_0029_01",1,896,"ref_strain",29,1
"215","01_2080_0029_01",1,2080,"ref_strain",29,1
"216","01_2419_0029_01",1,2419,"ref_strain",29,1
"217","01_2598_0029_01",1,2598,"ref_strain",29,1
"218","01_3425_0029_01",1,3425,"ref_strain",29,1
"219","01_3539_0029_01",1,3539,"ref_strain",29,1
"220","01_4455_0029_01",1,4455,"ref_strain",29,1
"221","01_4893_0029_01",1,4893,"ref_strain",29,1
"222","01_5123_0029_01",1,5123,"ref_strain",29,1
"223","01_5757_0029_01",1,5757,"ref_strain",29,1
"224","01_6001_0029_01",1,6001,"ref_strain",29,1
"225","01_6441_0029_01",1,6441,"ref_strain",29,1
"226","01_6553_0029_01",1,6553,"ref_strain",29,1
"227","01_6777_0029_01",1,6777,"ref_strain",29,1
"228","01_6960_0029_01",1,6960,"ref_strain",29,1
"229","01_7203_0029_01",1,7203,"ref_strain",29,1
"230","01_7711_0029_01",1,7711,"ref_strain",29,1
"231","01_7785_0029_01",1,7785,"ref_strain",29,1
"232","01_7843_0029_01",1,7843,"ref_strain",29,1
"233","01_8394_0029_01",1,8394,"ref_strain",29,1
